VAR,Variable,COU,Country,YEA,Year,Value
FELL_TOT,Fellings,AUS,Australia,1990,1990,17564
FELL_TOT,Fellings,AUS,Australia,1995,1995,19560
FELL_TOT,Fellings,AUS,Australia,2000,2000,24407727
FELL_TOT,Fellings,AUS,Australia,2001,2001,24474
FELL_TOT,Fellings,AUS,Australia,2002,2002,24296
FELL_TOT,Fellings,AUS,Australia,2003,2003,25819
FELL_TOT,Fellings,AUS,Australia,2004,2004,26498
FELL_TOT,Fellings,AUS,Australia,2005,2005,26998358
FELL_TOT,Fellings,AUS,Australia,2006,2006,26734156
FELL_TOT,Fellings,AUS,Australia,2007,2007,27192006
FELL_TOT,Fellings,AUS,Australia,2008,2008,28367758
FELL_TOT,Fellings,AUS,Australia,2009,2009,25798803
FELL_TOT,Fellings,AUS,Australia,2010,2010,25563
FELL_TOT,Fellings,AUS,Australia,2011,2011,26532
FELL_TOT,Fellings,AUS,Australia,2012,2012,23497
FELL_TOT,Fellings,AUS,Australia,2013,2013,22580
FELL_TOT,Fellings,AUS,Australia,2014,2014,25266
FELL_TOT,Fellings,AUS,Australia,2015,2015,27290
FELL_TOT,Fellings,AUS,Australia,2016,2016,30083
FELL_TOT,Fellings,AUT,Austria,1991,1991,17925
FELL_TOT,Fellings,AUT,Austria,1997,1997,17490
FELL_TOT,Fellings,AUT,Austria,2005,2005,23511
FELL_TOT,Fellings,BEL,Belgium,1990,1990,4400
FELL_TOT,Fellings,BEL,Belgium,1995,1995,4400
FELL_TOT,Fellings,BEL,Belgium,2000,2000,3457
FELL_TOT,Fellings,BEL,Belgium,2005,2005,4389
FELL_TOT,Fellings,BEL,Belgium,2010,2010,5230195
FELL_TOT,Fellings,BEL,Belgium,2012,2012,5057122
FELL_TOT,Fellings,CAN,Canada,1990,1990,162567
FELL_TOT,Fellings,CAN,Canada,1991,1991,160880
FELL_TOT,Fellings,CAN,Canada,1992,1992,170131
FELL_TOT,Fellings,CAN,Canada,1993,1993,175999
FELL_TOT,Fellings,CAN,Canada,1994,1994,183261
FELL_TOT,Fellings,CAN,Canada,1995,1995,188497
FELL_TOT,Fellings,CAN,Canada,1996,1996,183375
FELL_TOT,Fellings,CAN,Canada,1997,1997,188750
FELL_TOT,Fellings,CAN,Canada,1998,1998,176957
FELL_TOT,Fellings,CAN,Canada,1999,1999,199574
FELL_TOT,Fellings,CAN,Canada,2000,2000,202372
FELL_TOT,Fellings,CAN,Canada,2001,2001,187300
FELL_TOT,Fellings,CAN,Canada,2002,2002,198231
FELL_TOT,Fellings,CAN,Canada,2003,2003,184273
FELL_TOT,Fellings,CAN,Canada,2004,2004,210871
FELL_TOT,Fellings,CAN,Canada,2005,2005,205665
FELL_TOT,Fellings,CAN,Canada,2006,2006,185359
FELL_TOT,Fellings,CAN,Canada,2007,2007,165921
FELL_TOT,Fellings,CAN,Canada,2008,2008,141397
FELL_TOT,Fellings,CAN,Canada,2009,2009,118935
FELL_TOT,Fellings,CAN,Canada,2010,2010,144274
FELL_TOT,Fellings,CAN,Canada,2011,2011,150483
FELL_TOT,Fellings,CAN,Canada,2012,2012,153185
FELL_TOT,Fellings,CAN,Canada,2013,2013,155531
FELL_TOT,Fellings,CAN,Canada,2014,2014,155136
FELL_TOT,Fellings,CAN,Canada,2015,2015,159846
FELL_TOT,Fellings,CAN,Canada,2016,2016,157618
FELL_TOT,Fellings,CAN,Canada,2017,2017,156718
FELL_TOT,Fellings,CZE,Czech Republic,1990,1990,14775
FELL_TOT,Fellings,CZE,Czech Republic,1991,1991,11915
FELL_TOT,Fellings,CZE,Czech Republic,1992,1992,10917
FELL_TOT,Fellings,CZE,Czech Republic,1993,1993,11533
FELL_TOT,Fellings,CZE,Czech Republic,1994,1994,13244
FELL_TOT,Fellings,CZE,Czech Republic,1995,1995,13704
FELL_TOT,Fellings,CZE,Czech Republic,1996,1996,13947
FELL_TOT,Fellings,CZE,Czech Republic,1997,1997,14952
FELL_TOT,Fellings,CZE,Czech Republic,1998,1998,15507
FELL_TOT,Fellings,CZE,Czech Republic,1999,1999,15741
FELL_TOT,Fellings,CZE,Czech Republic,2000,2000,16005
FELL_TOT,Fellings,CZE,Czech Republic,2001,2001,15931
FELL_TOT,Fellings,CZE,Czech Republic,2002,2002,16116
FELL_TOT,Fellings,CZE,Czech Republic,2003,2003,16780
FELL_TOT,Fellings,CZE,Czech Republic,2004,2004,17291
FELL_TOT,Fellings,CZE,Czech Republic,2005,2005,17190
FELL_TOT,Fellings,CZE,Czech Republic,2006,2006,19593
FELL_TOT,Fellings,CZE,Czech Republic,2007,2007,20513
FELL_TOT,Fellings,CZE,Czech Republic,2008,2008,17940
FELL_TOT,Fellings,CZE,Czech Republic,2009,2009,17179
FELL_TOT,Fellings,CZE,Czech Republic,2010,2010,18553
